fips,State,2005_count,2005_pct,2005_rank,2006_count,2006_pct,2006_rank,2007_count,2007_pct,2007_rank,2008_count,2008_pct,2008_rank,2009_count,2009_pct,2009_rank,2010_count,2010_pct,2010_rank,2011_count,2011_pct,2011_rank,2012_count,2012_pct,2012_rank,pct-change
502,United States,27387000,37,,28836000,39,,29110000,39,,29181000,39,,29937000,40,,30107000,41,,29486000,40,,27761000,38,,1%
1,Alabama,298000,27,8,329000,30,11,332000,30,12,332000,30,12,367000,33,16,401000,35,19,394000,35,18,355000,32,17,19%
2,Alaska,53000,28,10,60000,33,19,57000,31,14,57000,32,18,62000,34,17,58000,31,9,61000,32,11,64000,34,23,21%
4,Arizona,578000,37,35,632000,39,36,706000,42,41,748000,44,43,741000,43,42,700000,43,40,664000,41,37,618000,38,37,7%
5,Arkansas,194000,29,11,210000,30,11,215000,31,14,219000,31,13,229000,32,13,229000,32,10,225000,32,11,215000,30,12,11%
6,California,4925000,51,50,5135000,54,50,5115000,55,50,5130000,55,50,5121000,54,50,5016000,54,50,4820000,52,50,4706000,51,50,-4%
8,Colorado,447000,38,39,480000,41,40,477000,40,34,463000,38,31,469000,38,30,481000,39,31,461000,38,32,441000,36,31,-1%
9,Connecticut,318000,38,39,338000,41,40,338000,41,37,343000,42,40,331000,41,36,348000,43,40,351000,44,43,325000,41,43,2%
10,Delaware,63000,32,20,71000,35,29,81000,39,32,81000,39,36,86000,41,36,82000,40,36,78000,38,32,76000,37,35,21%
11,District of Columbia,46000,41,n.r.,44000,39,n.r.,48000,43,n.r.,43000,38,n.r.,53000,47,n.r.,43000,42,n.r.,47000,44,n.r.,46000,42,n.r.,0%
12,Florida,1716000,42,45,1837000,46,47,1985000,49,49,1966000,49,48,2047000,50,49,1961000,49,49,1922000,48,48,1825000,46,48,6%
13,Georgia,829000,35,32,880000,36,31,928000,37,30,940000,37,29,1017000,39,32,1034000,41,37,1004000,40,36,953000,38,37,15%
15,Hawaii,110000,37,35,119000,40,37,123000,43,44,133000,47,46,143000,49,48,141000,46,46,141000,46,46,139000,46,48,26%
16,Idaho,113000,30,15,122000,31,15,136000,33,20,139000,34,22,151000,36,26,153000,36,23,143000,34,17,136000,32,17,20%
17,Illinois,1272000,39,43,1321000,41,40,1317000,41,37,1313000,41,37,1310000,41,36,1313000,42,38,1285000,42,41,1160000,38,37,-9%
18,Indiana,455000,29,11,480000,30,11,462000,29,8,485000,31,13,494000,31,10,513000,32,10,487000,31,9,450000,28,8,-1%
19,Iowa,164000,25,5,183000,26,5,178000,25,5,176000,25,3,177000,25,4,193000,27,4,185000,26,3,168000,23,3,2%
20,Kansas,175000,26,7,194000,28,6,182000,26,6,193000,28,7,193000,27,7,217000,30,7,215000,30,7,198000,27,6,13%
21,Kentucky,268000,27,8,280000,28,6,291000,29,8,289000,29,9,313000,31,10,327000,32,10,324000,32,11,292000,29,9,9%
22,Louisiana,357000,31,17,346000,32,18,334000,31,14,341000,31,13,347000,31,10,358000,32,10,374000,33,16,363000,32,17,2%
23,Maine,90000,33,25,96000,34,23,96000,34,25,105000,38,31,103000,38,30,91000,33,15,104000,38,32,96000,36,31,7%
24,Maryland,495000,35,32,493000,36,31,549000,40,34,553000,41,37,573000,42,40,566000,42,38,546000,41,37,502000,37,35,1%
25,Massachusetts,578000,40,44,631000,44,44,603000,42,41,598000,42,40,577000,40,35,556000,39,31,570000,41,37,507000,36,31,-12%
26,Michigan,894000,36,34,916000,37,34,948000,39,32,913000,38,31,923000,39,32,906000,39,31,843000,37,27,768000,34,23,-14%
27,Minnesota,394000,32,20,429000,34,23,429000,34,25,422000,34,22,430000,34,17,435000,34,18,412000,32,11,369000,29,9,-6%
28,Mississippi,251000,34,31,253000,33,19,244000,32,18,259000,34,22,269000,35,22,263000,35,19,280000,37,27,265000,35,29,6%
29,Missouri,403000,29,11,437000,31,15,445000,31,14,419000,29,9,452000,32,13,463000,33,15,444000,31,9,432000,31,13,7%
30,Montana,62000,30,15,63000,29,9,65000,29,8,62000,28,7,66000,30,9,67000,30,7,70000,32,11,68000,31,13,10%
31,Nebraska,104000,24,4,123000,28,6,118000,26,6,111000,25,3,114000,25,4,127000,28,6,122000,26,3,122000,26,5,17%
32,Nevada,264000,43,47,297000,47,49,314000,47,47,326000,49,48,327000,48,46,311000,47,47,294000,44,43,296000,45,45,12%
33,New Hampshire,112000,37,35,124000,42,43,123000,41,37,111000,38,31,120000,41,36,111000,39,31,110000,39,35,106000,39,40,-5%
34,New Jersey,929000,43,47,949000,45,45,968000,47,47,967000,47,46,982000,48,46,994000,48,48,990000,48,48,920000,45,45,-1%
35,New Mexico,149000,31,17,150000,29,9,163000,33,20,156000,31,13,166000,32,13,170000,33,15,188000,36,23,168000,33,21,13%
36,New York,2001000,44,49,2059000,46,47,1990000,45,46,1997000,45,44,2006000,45,44,1957000,45,43,1985000,46,46,1923000,45,45,-4%
37,North Carolina,702000,33,25,707000,33,19,718000,32,18,730000,33,20,790000,35,22,859000,38,30,841000,37,27,781000,34,23,11%
38,North Dakota,26000,19,1,29000,20,1,29000,21,1,32000,23,1,25000,18,1,28000,19,1,31000,21,1,25000,16,1,-4%
39,Ohio,895000,33,25,946000,34,23,919000,33,20,889000,33,20,937000,35,22,969000,36,23,939000,35,18,825000,31,13,-8%
40,Oklahoma,248000,29,11,269000,30,11,260000,29,8,262000,29,9,259000,28,8,296000,32,10,282000,30,7,274000,29,9,10%
41,Oregon,324000,38,39,339000,40,37,359000,42,41,371000,43,42,375000,43,42,393000,45,43,387000,45,45,351000,41,43,8%
42,Pennsylvania,915000,33,25,948000,34,23,946000,34,25,943000,34,22,954000,34,17,981000,35,19,968000,35,18,897000,33,21,-2%
