FIPS,State,2005_pct,2005_rank,2007_pct,2007_rank,2009_pct,2009_rank,2011_pct,2011_rank,2013_pct,2013_rank,pct-change,,
502,United States,70,,68,,68,,68,,66,,-6,,
1,Alabama,78,45,71,34,72,37,69,33,69,37,-12,,
2,Alaska,73,37,71,34,73,42,74,43,73,44,0,,
4,Arizona,76,43,76,45,75,45,74,43,72,41,-5,,
5,Arkansas,70,29,71,34,71,35,70,36,68,35,-3,,
6,California,79,46,77,48,76,46,75,46,73,44,-8,,
8,Colorado,63,6,64,10,60,5,61,8,59,8,-6,,
9,Connecticut,62,4,59,3,58,2,58,5,57,4,-8,,
10,Delaware,66,14,66,23,65,17,64,10,62,13,-6,,
11,District of Columbia,89,n.r.,86,0,83,n.r.,81,n.r.,77,n.r.,-13,,
12,Florida,70,29,66,23,64,11,65,15,61,12,-13,,
13,Georgia,74,39,72,38,71,35,68,31,66,29,-11,,
15,Hawaii,77,44,74,43,74,43,73,40,70,39,-9,,
16,Idaho,67,19,65,20,68,29,67,26,67,33,0,,
17,Illinois,71,33,68,29,68,29,67,26,66,29,-7,,
18,Indiana,70,29,67,27,66,23,67,26,62,13,-11,,
19,Iowa,67,19,64,10,66,23,67,26,62,13,-7,,
20,Kansas,68,25,64,10,65,17,64,10,62,13,-9,,
21,Kentucky,69,28,67,27,64,11,65,15,64,24,-7,,
22,Louisiana,80,48,80,49,82,50,77,48,77,48,-4,,
23,Maine,65,12,64,10,65,17,68,31,63,18,-3,,
24,Maryland,68,25,64,10,63,8,57,3,55,2,-19,,
25,Massachusetts,56,1,51,1,53,1,50,1,53,1,-5,,
26,Michigan,68,25,68,29,70,34,69,33,69,37,1,,
27,Minnesota,62,4,63,9,63,8,65,15,59,8,-5,,
28,Mississippi,82,50,81,50,78,48,78,49,79,49,-4,,
29,Missouri,67,19,68,29,64,11,66,20,65,25,-3,,
30,Montana,64,9,61,7,65,17,64,10,65,25,2,,
31,Nebraska,66,14,65,20,65,17,64,10,63,18,-5,,
32,Nevada,79,46,76,45,76,46,75,46,73,44,-8,,
33,New Hampshire,61,2,59,3,59,3,57,3,55,2,-10,,
34,New Jersey,63,6,57,2,60,5,56,2,58,6,-8,,
35,New Mexico,80,48,76,45,80,49,79,50,79,49,-1,,
36,New York,67,19,64,10,64,11,65,15,63,18,-6,,
37,North Carolina,71,33,71,34,68,29,66,20,65,25,-8,,
38,North Dakota,65,12,65,20,65,17,64,10,66,29,2,,
39,Ohio,66,14,64,10,64,11,66,20,63,18,-5,,
40,Oklahoma,75,42,73,41,72,37,73,40,70,39,-7,,
41,Oregon,71,33,72,38,69,32,70,36,67,33,-6,,
42,Pennsylvania,64,9,60,6,63,8,59,6,60,10,-6,,
44,Rhode Island,70,29,69,32,64,11,65,15,62,13,-11,,
45,South Carolina,74,39,74,43,72,37,72,38,72,41,-3,,
46,South Dakota,67,19,66,23,67,25,69,33,68,35,1,,
47,Tennessee,73,37,73,41,72,37,74,43,66,29,-10,,
48,Texas,71,33,70,33,72,37,72,38,72,41,1,,
49,Utah,66,14,66,23,69,32,67,26,63,18,-5,,
50,Vermont,61,2,59,3,59,3,59,6,58,6,-5,,
51,Virginia,63,6,62,8,62,7,61,8,57,4,-10,,
53,Washington,64,9,64,10,67,25,66,20,60,10,-6,,
54,West Virginia,74,39,72,38,74,43,73,40,73,44,-1,,
55,Wisconsin,67,19,64,10,67,25,66,20,65,25,-3,,
56,Wyoming,66,14,64,10,67,25,66,20,63,18,-5,,
72,Puerto Rico,N.A.,n.r.,N.A.,n.r.,N.A.,n.r.,N.A.,n.r.,N.A. ,n.r.,N.A.,,
78,Virgin Islands,N.A.,n.r.,N.A.,n.r.,N.A.,n.r.,N.A.,n.r.,N.A. ,n.r.,N.A.,,
