year,category,state,factor,n
2008,spend >30% on housing,Maryland,count,553000
2009,spend >30% on housing,Maryland,count,573000
2010,spend >30% on housing,Maryland,count,566000
2011,spend >30% on housing,Maryland,count,546000
2012,spend >30% on housing,Maryland,count,502000
2008,children in poverty,Maryland,count,135000
2009,children in poverty,Maryland,count,154000
2010,children in poverty,Maryland,count,173000
2011,children in poverty,Maryland,count,179000
2012,children in poverty,Maryland,count,183000
2008,parents without full-time employment,Maryland,count,285000
2009,parents without full-time employment,Maryland,count,329000
2010,parents without full-time employment,Maryland,count,357000
2011,parents without full-time employment,Maryland,count,367000
2012,parents without full-time employment,Maryland,count,352000
2008,teens not attending school,Maryland,count,28000
2009,teens not attending school,Maryland,count,27000
2010,teens not attending school,Maryland,count,28000
2011,teens not attending school,Maryland,count,25000
2012,teens not attending school,Maryland,count,24000
