year,domain,category,state,factor,n
2008,economic,spend >30% on housing,United States,count,29181000
2009,economic,spend >30% on housing,United States,count,29937000
2010,economic,spend >30% on housing,United States,count,30107000
2011,economic,spend >30% on housing,United States,count,29486000
2012,economic,spend >30% on housing,United States,count,27761000
2008,economic,spend >30% on housing,United States,pct,39
2009,economic,spend >30% on housing,United States,pct,40
2010,economic,spend >30% on housing,United States,pct,41
2011,economic,spend >30% on housing,United States,pct,40
2012,economic,spend >30% on housing,United States,pct,38
2008,economic,spend >30% on housing,United States,rank,0
2009,economic,spend >30% on housing,United States,rank,0
2010,economic,spend >30% on housing,United States,rank,0
2011,economic,spend >30% on housing,United States,rank,0
2012,economic,spend >30% on housing,United States,rank,0
2008,economic,children in poverty,United States,count,13241000
2009,economic,children in poverty,United States,count,14657000
2010,economic,children in poverty,United States,count,15749000
2011,economic,children in poverty,United States,count,16387000
2012,economic,children in poverty,United States,count,16397000
2008,economic,children in poverty,United States,pct,18
2009,economic,children in poverty,United States,pct,20
2010,economic,children in poverty,United States,pct,22
2011,economic,children in poverty,United States,pct,23
2012,economic,children in poverty,United States,pct,23
2008,economic,children in poverty,United States,rank,0
2009,economic,children in poverty,United States,rank,0
2010,economic,children in poverty,United States,rank,0
2011,economic,children in poverty,United States,rank,0
2012,economic,children in poverty,United States,rank,0
2008,economic,parents without full-time employment,United States,count,20181000
2009,economic,parents without full-time employment,United States,count,23062000
2010,economic,parents without full-time employment,United States,count,24159000
2011,economic,parents without full-time employment,United States,count,23777000
2012,economic,parents without full-time employment,United States,count,23101000
2008,economic,parents without full-time employment,United States,pct,27
2009,economic,parents without full-time employment,United States,pct,31
2010,economic,parents without full-time employment,United States,pct,33
2011,economic,parents without full-time employment,United States,pct,32
2012,economic,parents without full-time employment,United States,pct,31
2008,economic,parents without full-time employment,United States,rank,0
2009,economic,parents without full-time employment,United States,rank,0
2010,economic,parents without full-time employment,United States,rank,0
2011,economic,parents without full-time employment,United States,rank,0
2012,economic,parents without full-time employment,United States,rank,0
2008,economic,teens not attending school,United States,count,1410000
2009,economic,teens not attending school,United States,count,1559000
2010,economic,teens not attending school,United States,count,1580000
2011,economic,teens not attending school,United States,count,1497000
2012,economic,teens not attending school,United States,count,1404000
2008,economic,teens not attending school,United States,pct,8
2009,economic,teens not attending school,United States,pct,9
2010,economic,teens not attending school,United States,pct,9
2011,economic,teens not attending school,United States,pct,8
2012,economic,teens not attending school,United States,pct,8
2008,economic,teens not attending school,United States,rank,0
2009,economic,teens not attending school,United States,rank,0
2010,economic,teens not attending school,United States,rank,0
2011,economic,teens not attending school,United States,rank,0
2012,economic,teens not attending school,United States,rank,0
2008,economic,spend >30% on housing,Alabama,count,332000
2009,economic,spend >30% on housing,Alabama,count,367000
2010,economic,spend >30% on housing,Alabama,count,401000
2011,economic,spend >30% on housing,Alabama,count,394000
2012,economic,spend >30% on housing,Alabama,count,355000
2008,economic,spend >30% on housing,Alabama,pct,30
2009,economic,spend >30% on housing,Alabama,pct,33
2010,economic,spend >30% on housing,Alabama,pct,35
2011,economic,spend >30% on housing,Alabama,pct,35
2012,economic,spend >30% on housing,Alabama,pct,32
2008,economic,spend >30% on housing,Alabama,rank,12
2009,economic,spend >30% on housing,Alabama,rank,16
2010,economic,spend >30% on housing,Alabama,rank,19
2011,economic,spend >30% on housing,Alabama,rank,18
2012,economic,spend >30% on housing,Alabama,rank,17
2008,economic,children in poverty,Alabama,count,241000
2009,economic,children in poverty,Alabama,count,275000
2010,economic,children in poverty,Alabama,count,311000
2011,economic,children in poverty,Alabama,count,307000
2012,economic,children in poverty,Alabama,count,306000
2008,economic,children in poverty,Alabama,pct,22
2009,economic,children in poverty,Alabama,pct,25
2010,economic,children in poverty,Alabama,pct,28
2011,economic,children in poverty,Alabama,pct,28
2012,economic,children in poverty,Alabama,pct,27
2008,economic,children in poverty,Alabama,rank,40
2009,economic,children in poverty,Alabama,rank,46
2010,economic,children in poverty,Alabama,rank,47
2011,economic,children in poverty,Alabama,rank,45
2012,economic,children in poverty,Alabama,rank,42
2008,economic,parents without full-time employment,Alabama,count,340000
2009,economic,parents without full-time employment,Alabama,count,395000
2010,economic,parents without full-time employment,Alabama,count,422000
2011,economic,parents without full-time employment,Alabama,count,399000
2012,economic,parents without full-time employment,Alabama,count,394000
2008,economic,parents without full-time employment,Alabama,pct,30
2009,economic,parents without full-time employment,Alabama,pct,35
2010,economic,parents without full-time employment,Alabama,pct,37
2011,economic,parents without full-time employment,Alabama,pct,35
2012,economic,parents without full-time employment,Alabama,pct,35
2008,economic,parents without full-time employment,Alabama,rank,38
2009,economic,parents without full-time employment,Alabama,rank,44
2010,economic,parents without full-time employment,Alabama,rank,43
2011,economic,parents without full-time employment,Alabama,rank,37
2012,economic,parents without full-time employment,Alabama,rank,43
2008,economic,teens not attending school,Alabama,count,26000
2009,economic,teens not attending school,Alabama,count,27000
2010,economic,teens not attending school,Alabama,count,30000
2011,economic,teens not attending school,Alabama,count,28000
2012,economic,teens not attending school,Alabama,count,27000
2008,economic,teens not attending school,Alabama,pct,10
