fips,State,2008_count,2008_pct,2008_rank,2009_count,2009_pct,2009_rank,2010_count,2010_pct,2010_rank,2011_count,2011_pct,2011_rank,2012_count,2012_pct,2012_rank,pct-change
502,United States,20181000,27,,23062000,31,,24159000,33,,23777000,32,,23101000,31,,14%
1,Alabama,340000,30,38,395000,35,44,422000,37,43,399000,35,37,394000,35,43,16%
2,Alaska,62000,34,49,67000,36,47,65000,35,35,62000,33,28,68000,36,46,10%
4,Arizona,493000,29,33,583000,34,38,570000,35,35,560000,35,37,556000,34,37,13%
5,Arkansas,223000,32,45,241000,34,38,253000,36,38,253000,36,45,236000,33,31,6%
6,California,2807000,30,38,3219000,34,38,3345000,36,38,3314000,36,45,3228000,35,43,15%
8,Colorado,293000,24,14,340000,28,15,356000,29,14,362000,29,14,344000,28,13,17%
9,Connecticut,195000,24,14,207000,26,13,228000,28,13,221000,28,13,223000,28,13,14%
10,Delaware,51000,25,16,59000,28,15,60000,29,14,61000,30,17,65000,32,28,27%
11,District of Columbia,46000,41,n.r.,49000,44,n.r.,44000,44,n.r.,47000,44,n.r.,43000,39,n.r.,-7%
12,Florida,1112000,28,26,1292000,32,30,1377000,34,30,1364000,34,33,1356000,34,37,22%
13,Georgia,719000,28,26,814000,32,30,839000,34,30,866000,35,37,828000,33,31,15%
15,Hawaii,73000,26,17,86000,30,22,91000,30,16,96000,32,25,88000,29,18,21%
16,Idaho,108000,26,17,120000,29,19,134000,31,19,132000,31,22,120000,28,13,11%
17,Illinois,836000,26,17,971000,31,25,986000,32,26,975000,31,22,901000,29,18,8%
18,Indiana,438000,28,26,511000,32,30,536000,33,29,527000,33,28,474000,30,20,8%
19,Iowa,151000,21,4,157000,22,2,182000,25,6,176000,24,3,167000,23,3,11%
20,Kansas,151000,22,7,175000,25,8,199000,27,10,181000,25,7,176000,24,5,17%
21,Kentucky,327000,33,48,382000,38,49,375000,37,43,378000,37,47,357000,35,43,9%
22,Louisiana,350000,32,45,374000,33,35,404000,36,38,396000,35,37,400000,36,46,14%
23,Maine,79000,29,33,85000,31,25,92000,34,30,88000,33,28,88000,33,31,11%
24,Maryland,285000,21,4,329000,24,5,357000,26,8,367000,27,11,352000,26,10,24%
25,Massachusetts,372000,26,17,405000,28,15,424000,30,16,421000,30,17,414000,30,20,11%
26,Michigan,728000,31,44,845000,36,47,855000,37,43,813000,35,37,778000,34,37,7%
27,Minnesota,269000,22,7,317000,25,8,352000,27,10,330000,26,10,312000,24,5,16%
28,Mississippi,269000,35,50,300000,39,50,292000,39,50,285000,38,50,301000,40,50,12%
29,Missouri,384000,27,24,438000,31,25,436000,31,19,446000,32,25,433000,31,26,13%
30,Montana,65000,29,33,74000,33,35,70000,31,19,67000,30,17,67000,30,20,3%
31,Nebraska,84000,19,1,101000,22,2,112000,24,4,111000,24,3,104000,22,2,24%
32,Nevada,173000,26,17,231000,34,38,239000,36,38,224000,34,33,226000,34,37,31%
33,New Hampshire,61000,21,4,69000,24,5,70000,25,6,65000,23,2,72000,26,10,18%
34,New Jersey,474000,23,10,518000,25,8,567000,27,10,556000,27,11,534000,26,10,13%
35,New Mexico,149000,30,38,165000,32,30,190000,37,43,192000,37,47,185000,36,46,24%
36,New York,1227000,28,26,1340000,30,22,1358000,31,19,1361000,32,25,1353000,32,28,10%
37,North Carolina,632000,28,26,753000,33,35,793000,35,35,782000,34,33,751000,33,31,19%
38,North Dakota,28000,20,3,29000,21,1,33000,22,1,33000,22,1,30000,19,1,7%
39,Ohio,763000,28,26,872000,32,30,918000,34,30,889000,33,28,856000,32,28,12%
40,Oklahoma,260000,29,33,271000,29,19,301000,32,26,282000,30,17,281000,30,20,8%
41,Oregon,252000,29,33,297000,34,38,315000,36,38,315000,37,47,295000,34,37,17%
42,Pennsylvania,752000,27,24,813000,29,19,854000,31,19,854000,31,22,832000,30,20,11%
44,Rhode Island,68000,30,38,71000,31,25,76000,34,30,77000,35,37,72000,33,31,6%
45,South Carolina,318000,30,38,365000,34,38,397000,37,43,381000,35,37,384000,36,46,21%
46,South Dakota,45000,23,10,48000,24,5,46000,23,2,48000,24,3,49000,24,5,9%
47,Tennessee,441000,30,38,517000,35,44,556000,37,43,513000,34,33,496000,33,31,12%
48,Texas,1775000,26,17,2063000,30,22,2169000,31,19,2112000,30,17,2087000,30,20,18%
49,Utah,157000,19,1,195000,22,2,212000,24,4,219000,25,7,206000,23,3,31%
50,Vermont,36000,28,26,36000,28,15,41000,31,19,36000,29,14,35000,28,13,-3%
51,Virginia,423000,23,10,464000,25,8,480000,26,8,472000,25,7,465000,25,8,10%
53,Washington,400000,26,17,486000,31,25,507000,32,26,517000,33,28,492000,31,26,23%
54,West Virginia,122000,32,45,135000,35,44,144000,37,43,137000,35,37,132000,34,37,8%
55,Wisconsin,287000,22,7,356000,27,14,402000,30,16,378000,29,14,362000,28,13,26%
56,Wyoming,29000,23,10,32000,25,8,32000,23,2,33000,24,3,35000,25,8,21%
72,Puerto Rico,500000,51,n.r.,504000,52,n.r.,487000,54,n.r.,479000,55,n.r.,440000,52,n.r.,-12%
78,Virgin Islands,N.A.,N.A.,n.r.,N.A.,N.A.,n.r.,N.A.,N.A.,n.r.,N.A.,N.A.,n.r.,N.A.,N.A.,n.r.,#VALUE!
