fips,State,2005_count,2005_pct,2005_rank,2006_count,2006_pct,2006_rank,2007_count,2007_pct,2007_rank,2008_count,2008_pct,2008_rank,2009_count,2009_pct,2009_rank,2010_count,2010_pct,2010_rank,2011_count,2011_pct,2011_rank,2012_count,2012_pct,2012_rank,pct-change
502,United States,13360000,19,,13286000,18,,13097000,18,,13241000,18,,14657000,20,,15749000,22,,16387000,23,,16397000,23,,23%
1,Alabama,267000,25,44,253000,23,41,269000,24,45,241000,22,40,275000,25,46,311000,28,47,307000,28,45,306000,27,42,15%
2,Alaska,27000,15,16,26000,15,16,20000,11,4,20000,11,4,23000,13,5,24000,13,2,27000,15,3,26000,14,2,-4%
4,Arizona,315000,20,36,312000,20,36,331000,20,37,349000,21,38,398000,23,38,392000,24,37,435000,27,42,429000,27,42,36%
5,Arkansas,165000,25,44,165000,24,44,178000,26,48,172000,25,48,189000,27,49,193000,28,47,197000,28,45,200000,29,48,21%
6,California,1767000,19,30,1697000,18,30,1591000,17,25,1701000,18,27,1847000,20,29,2013000,22,30,2085000,23,30,2167000,24,32,23%
8,Colorado,166000,14,11,180000,16,21,192000,16,22,179000,15,18,210000,17,18,211000,17,14,217000,18,16,224000,18,17,35%
9,Connecticut,95000,12,5,89000,11,3,89000,11,4,100000,12,7,97000,12,2,103000,13,2,119000,15,3,117000,15,4,23%
10,Delaware,28000,14,11,32000,16,21,29000,15,16,28000,14,14,34000,16,15,37000,18,16,35000,17,13,35000,17,13,25%
11,District of Columbia,35000,32,n.r.,37000,33,n.r.,26000,23,n.r.,28000,26,n.r.,33000,29,n.r.,31000,30,n.r.,32000,30,n.r.,29000,27,n.r.,-17%
12,Florida,713000,18,26,689000,17,24,678000,17,25,721000,18,27,852000,21,32,924000,23,34,980000,25,36,1001000,25,36,40%
13,Georgia,469000,20,36,485000,20,36,490000,20,37,502000,20,36,568000,22,35,611000,25,38,647000,26,38,672000,27,42,43%
15,Hawaii,37000,13,8,33000,11,3,28000,10,2,28000,10,2,39000,14,11,41000,14,5,51000,17,13,51000,17,13,38%
16,Idaho,65000,18,26,58000,15,16,64000,16,22,64000,16,23,75000,18,23,80000,19,22,85000,20,23,87000,21,25,34%
17,Illinois,525000,16,22,543000,17,24,525000,17,25,535000,17,25,591000,19,26,600000,19,22,658000,22,26,624000,21,25,19%
18,Indiana,260000,17,23,277000,18,30,268000,17,25,283000,18,27,311000,20,29,342000,22,30,361000,23,30,350000,22,28,35%
19,Iowa,92000,14,11,96000,14,13,95000,14,14,101000,14,14,109000,16,15,115000,16,11,123000,17,13,113000,16,11,23%
20,Kansas,100000,15,16,107000,16,21,100000,15,16,100000,15,18,121000,18,23,131000,18,16,134000,19,21,135000,19,20,35%
21,Kentucky,216000,22,41,223000,23,41,235000,24,45,233000,23,43,255000,26,48,263000,26,42,275000,27,42,264000,27,42,22%
22,Louisiana,319000,28,49,298000,28,49,283000,27,49,271000,25,48,268000,24,41,300000,27,46,317000,29,48,310000,28,47,-3%
23,Maine,47000,17,23,48000,18,30,42000,15,16,42000,16,23,45000,17,18,48000,18,16,50000,19,21,54000,21,25,15%
24,Maryland,148000,11,2,130000,10,1,140000,10,2,135000,10,2,154000,12,2,173000,13,2,179000,14,2,183000,14,2,24%
25,Massachusetts,194000,14,11,178000,12,5,182000,13,11,169000,12,7,186000,13,5,201000,14,5,212000,15,3,213000,15,4,10%
26,Michigan,459000,19,30,445000,18,30,468000,19,34,458000,19,32,520000,23,38,539000,23,34,560000,25,36,554000,25,36,21%
27,Minnesota,140000,12,5,152000,12,5,149000,12,7,140000,11,4,174000,14,11,192000,15,10,194000,15,3,184000,15,4,31%
28,Mississippi,226000,31,50,220000,30,50,220000,29,50,229000,30,50,233000,31,50,242000,33,50,236000,32,50,256000,35,50,13%
29,Missouri,256000,19,30,260000,19,34,248000,18,32,259000,19,32,291000,21,32,291000,21,28,306000,22,26,310000,23,29,21%
30,Montana,40000,20,36,37000,17,24,40000,18,32,45000,21,38,46000,21,32,44000,20,27,43000,20,23,44000,20,23,10%
31,Nebraska,63000,15,16,63000,14,13,65000,15,16,58000,13,10,66000,15,14,82000,18,16,82000,18,16,81000,18,17,29%
32,Nevada,90000,15,16,87000,14,13,100000,15,16,99000,15,18,118000,18,23,144000,22,30,144000,22,26,157000,24,32,74%
33,New Hampshire,28000,9,1,28000,10,1,26000,9,1,26000,9,1,31000,11,1,28000,10,1,33000,12,1,42000,16,11,50%
34,New Jersey,252000,12,5,244000,12,5,236000,12,7,253000,13,10,273000,13,5,295000,14,5,296000,15,3,310000,15,4,23%
35,New Mexico,124000,26,47,128000,26,48,124000,25,47,119000,24,47,128000,25,46,154000,30,49,157000,31,49,149000,29,48,20%
36,New York,865000,19,30,888000,20,36,844000,19,34,829000,19,32,868000,20,29,901000,21,28,951000,23,30,959000,23,29,11%
37,North Carolina,449000,21,39,429000,20,36,426000,20,37,440000,20,36,505000,23,38,560000,25,38,580000,26,38,586000,26,39,31%
38,North Dakota,18000,13,8,18000,13,11,19000,13,11,21000,15,18,18000,13,5,24000,16,11,22000,15,3,20000,13,1,11%
39,Ohio,506000,19,30,509000,19,34,501000,19,34,498000,19,32,584000,22,35,624000,23,34,641000,24,34,621000,24,32,23%
40,Oklahoma,192000,23,42,213000,24,44,199000,22,41,200000,23,43,201000,22,35,227000,25,38,216000,23,30,222000,24,32,16%
41,Oregon,152000,18,26,141000,17,24,143000,17,25,154000,18,27,164000,19,26,184000,22,30,199000,24,34,195000,23,29,28%
42,Pennsylvania,461000,17,23,465000,17,24,447000,16,22,455000,17,25,467000,17,18,522000,19,22,532000,20,23,532000,20,23,15%
