fips,State,2008_count,2008_pct,2008_rank,2009_count,2009_pct,2009_rank,2010_count,2010_pct,2010_rank,2011_count,2011_pct,2011_rank,2012_count,2012_pct,2012_rank,pct-change
502,United States,1410000,8,,1559000,9,,1580000,9,,1497000,8,,1404000,8,,0%
1,Alabama,26000,10,39,27000,10,33,30000,11,38,28000,10,38,27000,10,39,4%
2,Alaska,5000,11,45,5000,12,45,5000,11,38,4000,10,38,4000,10,39,-20%
4,Arizona,38000,11,45,40000,11,40,45000,12,42,41000,11,42,38000,11,45,0%
5,Arkansas,20000,12,50,16000,10,33,21000,12,42,16000,10,38,17000,11,45,-15%
6,California,187000,8,21,180000,8,16,192000,8,16,193000,9,28,175000,8,19,-6%
8,Colorado,20000,8,21,23000,8,16,20000,7,11,21000,8,20,21000,8,19,5%
9,Connecticut,12000,6,8,12000,6,2,11000,5,3,14000,7,12,11000,5,3,-8%
10,Delaware,4000,9,34,4000,8,16,5000,9,25,4000,8,20,4000,8,19,0%
11,District of Columbia,3000,9,n.r.,4000,10,n.r.,3000,9,n.r.,4000,12,n.r.,3000,10,n.r.,0%
12,Florida,91000,10,39,100000,11,40,103000,10,34,93000,9,28,87000,9,30,-4%
13,Georgia,63000,11,45,69000,12,45,70000,12,42,63000,11,42,62000,11,45,-2%
15,Hawaii,6000,9,34,7000,12,45,8000,12,42,7000,11,42,6000,9,30,0%
16,Idaho,8000,8,21,9000,9,23,10000,11,38,8000,9,28,8000,9,30,0%
17,Illinois,58000,7,14,66000,9,23,59000,8,16,61000,8,20,50000,7,13,-14%
18,Indiana,28000,8,21,33000,9,23,31000,8,16,33000,9,28,28000,8,19,0%
19,Iowa,8000,4,1,10000,6,2,11000,6,8,11000,6,6,9000,5,3,13%
20,Kansas,8000,5,5,11000,7,8,10000,6,8,10000,6,6,11000,7,13,38%
21,Kentucky,24000,10,39,24000,10,33,27000,11,38,18000,8,20,21000,9,30,-13%
22,Louisiana,29000,11,45,30000,11,40,37000,14,48,31000,12,48,28000,11,45,-3%
23,Maine,5000,8,21,5000,7,8,5000,7,11,4000,6,6,5000,8,19,0%
24,Maryland,28000,8,21,27000,8,16,28000,8,16,25000,8,20,24000,8,19,-14%
25,Massachusetts,20000,5,5,24000,6,2,20000,5,3,21000,5,2,20000,5,3,0%
26,Michigan,52000,8,21,55000,9,23,54000,9,25,52000,9,28,43000,8,19,-17%
27,Minnesota,12000,4,1,19000,6,2,14000,5,3,14000,5,2,14000,5,3,17%
28,Mississippi,17000,9,34,24000,12,45,23000,13,47,22000,12,48,23000,12,49,35%
29,Missouri,27000,8,21,30000,9,23,30000,9,25,27000,8,20,28000,8,19,4%
30,Montana,6000,10,39,7000,11,40,5000,9,25,3000,7,12,5000,10,39,-17%
31,Nebraska,4000,4,1,6000,6,2,4000,4,1,5000,5,2,6000,6,8,50%
32,Nevada,15000,11,45,18000,13,49,22000,15,50,18000,13,50,14000,10,39,-7%
33,New Hampshire,3000,4,1,4000,5,1,4000,6,8,4000,6,6,4000,6,8,33%
34,New Jersey,31000,7,14,30000,7,8,36000,8,16,31000,7,12,29000,6,8,-6%
35,New Mexico,12000,10,39,14000,11,40,15000,12,42,13000,11,42,15000,12,49,25%
36,New York,85000,7,14,93000,8,16,94000,8,16,89000,8,20,83000,8,19,-2%
37,North Carolina,44000,8,21,53000,10,33,52000,10,34,52000,10,38,50000,9,30,14%
38,North Dakota,3000,6,8,3000,7,8,2000,5,3,3000,7,12,2000,5,3,-33%
39,Ohio,43000,7,14,49000,7,8,53000,8,16,44000,7,12,42000,7,13,-2%
40,Oklahoma,18000,8,21,20000,9,23,19000,9,25,19000,9,28,21000,10,39,17%
41,Oregon,19000,9,34,19000,9,23,20000,10,34,18000,9,28,19000,9,30,0%
42,Pennsylvania,47000,6,8,57000,8,16,53000,7,11,50000,7,12,49000,7,13,4%
44,Rhode Island,5000,7,14,5000,8,16,3000,5,3,4000,7,12,4000,6,8,-20%
45,South Carolina,22000,8,21,27000,10,33,24000,9,25,30000,11,42,27000,10,39,23%
46,South Dakota,3000,6,8,3000,7,8,4000,8,16,2000,5,2,2000,4,1,-33%
47,Tennessee,32000,9,34,35000,10,33,35000,10,34,32000,9,28,31000,9,30,-3%
48,Texas,119000,8,21,143000,10,33,144000,9,25,139000,9,28,129000,9,30,8%
49,Utah,10000,6,8,15000,9,23,17000,9,25,15000,8,20,14000,8,19,40%
50,Vermont,2000,6,8,3000,7,8,1000,4,1,2000,6,6,1000,4,1,-50%
51,Virginia,29000,7,14,32000,7,8,34000,7,11,32000,7,12,31000,7,13,7%
53,Washington,29000,8,21,32000,9,23,30000,8,16,33000,9,28,29000,8,19,0%
54,West Virginia,10000,10,39,14000,15,50,14000,14,48,11000,11,42,8000,9,30,-20%
55,Wisconsin,17000,5,5,19000,6,2,21000,7,11,21000,6,6,18000,6,8,6%
56,Wyoming,2000,7,14,3000,9,23,3000,9,25,1000,4,1,2000,7,13,0%
72,Puerto Rico,36000,15,n.r.,38000,15,n.r.,42000,18,n.r.,36000,16,n.r.,35000,15,n.r.,-3%
78,Virgin Islands,N.A.,N.A.,n.r.,N.A.,N.A.,n.r.,N.A.,N.A.,n.r.,N.A.,N.A.,n.r.,N.A.,N.A. ,n.r.,#VALUE!
