FIPS,State,2005_pct,2005_rank,2007_pct,2007_rank,2009_pct,2009_rank,2011_pct,2011_rank,2013_pct,2013_rank,pct-change,
502,United States,72,,69,,67,,66,,66,,-8,
1,Alabama,85,48,82,48,80,46,80,49,80,50,-6,
2,Alaska,71,30,68,27,67,30,65,23,67,30,-6,
4,Arizona,74,34,74,38,71,35,69,34,69,35,-7,
5,Arkansas,78,40,76,40,73,38,71,39,72,41,-8,
6,California,78,40,76,40,77,45,75,44,72,41,-8,
8,Colorado,68,18,63,11,60,9,57,7,58,6,-15,
9,Connecticut,65,9,65,17,60,9,62,19,63,20,-3,
10,Delaware,70,23,69,30,68,32,68,31,67,30,-4,
11,District of Columbia,93,n.r.,92,0,89,0,83,n.r.,81,n.r.,-13,
12,Florida,74,34,73,36,71,35,72,41,69,35,-7,
13,Georgia,77,38,75,39,73,38,72,41,71,40,-8,
15,Hawaii,82,45,79,44,75,41,70,37,68,33,-17,
16,Idaho,70,23,66,24,62,16,63,20,64,22,-9,
17,Illinois,71,30,69,30,67,30,67,28,64,22,-10,
18,Indiana,70,23,65,17,64,18,66,25,62,15,-11,
19,Iowa,66,13,65,17,66,28,66,25,64,22,-3,
20,Kansas,66,13,60,5,61,13,59,10,60,10,-9,
21,Kentucky,77,38,73,36,73,38,69,34,70,38,-9,
22,Louisiana,84,47,81,46,80,46,78,47,79,48,-6,
23,Maine,70,23,66,24,65,23,61,16,60,10,-14,
24,Maryland,70,23,63,11,60,9,60,12,63,20,-10,
25,Massachusetts,57,1,49,1,48,1,49,1,45,1,-21,
26,Michigan,71,30,71,34,69,33,69,34,70,38,-1,
27,Minnesota,57,1,57,2,53,2,52,2,53,3,-7,
28,Mississippi,86,49,86,50,85,50,81,50,79,48,-8,
29,Missouri,74,34,70,32,65,23,68,31,67,30,-9,
30,Montana,64,4,62,8,56,3,54,4,60,10,-6,
31,Nebraska,65,9,65,17,65,23,67,28,64,22,-2,
32,Nevada,79,42,77,42,75,41,71,39,72,41,-9,
33,New Hampshire,65,9,62,8,57,5,56,6,53,3,-18,
34,New Jersey,64,4,60,5,56,3,53,3,51,2,-20,
35,New Mexico,86,49,83,49,80,46,76,45,77,47,-10,
36,New York,69,20,70,32,66,28,70,37,68,33,-1,
37,North Carolina,68,18,66,24,64,18,63,20,64,22,-6,
38,North Dakota,65,9,59,3,57,5,57,7,59,9,-9,
39,Ohio,67,16,65,17,64,18,61,16,60,10,-10,
40,Oklahoma,79,42,79,44,76,44,73,43,75,45,-5,
41,Oregon,66,13,65,17,63,17,67,28,66,29,0,
42,Pennsylvania,69,20,62,8,60,9,61,16,58,6,-16,
44,Rhode Island,76,37,72,35,72,37,66,25,64,22,-16,
45,South Carolina,70,23,68,27,70,34,68,31,69,35,-1,
46,South Dakota,64,4,61,7,58,8,58,9,62,15,-3,
47,Tennessee,79,42,77,42,75,41,76,45,72,41,-9,
48,Texas,69,20,65,17,64,18,60,12,62,15,-10,
49,Utah,70,23,68,27,65,23,65,23,64,22,-9,
50,Vermont,62,3,59,3,57,5,54,4,53,3,-15,
51,Virginia,67,16,63,11,64,18,60,12,62,15,-7,
53,Washington,64,4,64,15,61,13,60,12,58,6,-9,
54,West Virginia,82,45,81,46,81,49,79,48,76,46,-7,
55,Wisconsin,64,4,63,11,61,13,59,10,60,10,-6,
56,Wyoming,71,30,64,15,65,23,63,20,62,15,-13,
72,Puerto Rico,N.A.,n.r.,N.A.,n.r.,N.A.,n.r.,N.A.,n.r.,N.A.,n.r.,N.A.,
78,Virgin Islands,N.A.,n.r.,N.A.,n.r.,N.A.,n.r.,N.A.,n.r.,N.A.,n.r.,N.A.,
