FIPS,State,2005_2007_count,2005_2007_pct,2005_2007_rank,2006_2008_count,2006_2008_pct,2006_2008_rank,2007_2009_count,2007_2009_pct,2007_2009_rank,2008_2010_count,2008_2010_pct,2008_2010_rank,2009_2011_count,2009_2011_pct,2009_2011_rank,2010_2012_count,2010_2012_pct,2010_2012_rank,pct-change,
502,United States,4669000,56,,4381000,54,,4387000,53,,4234000,53,,4325000,54,,4307000,54,,-4,
1,Alabama,76000,59,27,70000,57,28,72000,57,30,70000,57,30,72000,58,32,71000,59,33,0,
2,Alaska,12000,61,34,11000,60,35,11000,61,39,12000,63,45,13000,66,47,13000,64,45,5,
4,Arizona,132000,68,47,133000,68,49,135000,67,47,123000,68,49,124000,67,49,120000,67,49,-1,
5,Arkansas,43000,55,14,41000,52,12,42000,52,16,40000,51,12,42000,52,15,42000,53,19,-4,
6,California,588000,55,14,535000,52,12,544000,52,16,518000,52,17,532000,53,18,530000,53,19,-4,
8,Colorado,82000,59,27,78000,56,24,76000,54,22,71000,52,17,72000,51,11,71000,51,12,-14,
9,Connecticut,37000,42,2,32000,39,2,32000,37,2,32000,38,2,33000,39,2,30000,37,1,-12,
10,Delaware,13000,56,19,12000,55,22,12000,52,16,11000,50,10,12000,51,11,11000,50,8,-11,
11,District of Columbia,6000,46,n.r.,4000,33,n.r.,5000,37,n.r.,4000,34,n.r.,4000,34,n.r.,3000,27,n.r.,-41,
12,Florida,239000,52,7,223000,50,9,227000,51,10,217000,51,12,221000,51,11,220000,51,12,-2,
13,Georgia,151000,52,7,146000,51,10,148000,51,10,138000,51,12,139000,52,15,141000,52,16,0,
15,Hawaii,17000,52,7,16000,48,6,16000,47,6,15000,46,5,16000,48,6,17000,49,7,-6,
16,Idaho,32000,69,48,31000,67,47,32000,67,47,30000,63,45,32000,65,46,31000,65,47,-6,
17,Illinois,180000,50,5,167000,47,5,161000,45,5,153000,46,5,155000,46,5,155000,47,5,-6,
18,Indiana,110000,61,34,107000,60,35,109000,61,39,107000,61,43,108000,60,37,105000,60,37,-2,
19,Iowa,44000,55,14,42000,53,16,42000,52,16,42000,52,17,43000,53,18,42000,53,19,-4,
20,Kansas,44000,57,21,43000,56,24,42000,54,22,42000,53,22,44000,54,23,44000,54,23,-5,
21,Kentucky,65000,59,27,62000,57,28,62000,55,27,64000,56,28,66000,58,32,67000,58,30,-2,
22,Louisiana,65000,51,6,58000,49,7,57000,47,6,57000,47,7,60000,48,6,63000,50,8,-2,
23,Maine,17000,60,33,17000,61,40,17000,61,39,17000,58,32,16000,57,29,16000,56,26,-7,
24,Maryland,80000,53,11,75000,51,10,75000,51,10,71000,49,8,72000,49,9,73000,50,8,-6,
25,Massachusetts,67000,44,3,61000,41,3,61000,40,3,59000,41,3,60000,41,3,62000,42,3,-5,
26,Michigan,149000,56,19,136000,54,20,133000,53,21,129000,54,24,128000,54,23,124000,54,23,-4,
27,Minnesota,82000,58,23,80000,56,24,80000,55,27,79000,55,27,78000,54,23,76000,54,23,-7,
28,Mississippi,48000,54,12,42000,52,12,41000,50,8,40000,50,10,40000,50,10,42000,50,8,-7,
29,Missouri,92000,58,23,92000,58,30,92000,57,30,90000,57,30,88000,55,26,86000,56,26,-3,
30,Montana,14000,63,40,15000,62,43,15000,61,39,14000,59,35,14000,57,29,15000,60,37,-5,
31,Nebraska,30000,59,27,29000,58,30,29000,56,29,27000,53,22,27000,53,18,27000,52,16,-12,
32,Nevada,56000,75,50,56000,74,50,57000,72,50,54000,71,50,53000,70,50,53000,70,50,-7,
33,New Hampshire,17000,54,12,16000,52,12,17000,51,10,15000,49,8,14000,48,6,13000,48,6,-11,
34,New Jersey,92000,40,1,80000,36,1,78000,36,1,78000,36,1,83000,38,1,82000,38,2,-5,
