Year,Category,State,factor,n,,,,,,,,,,,,,,,,,,,,,,
2008,spend >30% on housing,Maryland,count,553000,,,,,,,,,,,,,,,,,,,,,,
2009,spend >30% on housing,Maryland,count,573000,,,,,,,,,,,,,,,,,,,,,,
2010,spend >30% on housing,Maryland,count,566000,,,,,,,,,,,,,,,,,,,,,,
2011,spend >30% on housing,Maryland,count,546000,,,,,,,,,,,,,,,,,,,,,,
2012,spend >30% on housing,Maryland,count,502000,,,,,,,,,,,,,,,,,,,,,,
2008,spend >30% on housing,Maryland,pct,41,,,,,,,,,,,,,,,,,,,,,,
2009,spend >30% on housing,Maryland,pct,42,,,,,,,,,,,,,,,,,,,,,,
2010,spend >30% on housing,Maryland,pct,42,,,,,,,,,,,,,,,,,,,,,,
2011,spend >30% on housing,Maryland,pct,41,,,,,,,,,,,,,,,,,,,,,,
2012,spend >30% on housing,Maryland,pct,37,,,,,,,,,,,,,,,,,,,,,,
2008,spend >30% on housing,Maryland,rank,37,,,,,,,,,,,,,,,,,,,,,,
2009,spend >30% on housing,Maryland,rank,40,,,,,,,,,,,,,,,,,,,,,,#REF!
2010,spend >30% on housing,Maryland,rank,38,,,,,,,,,,,,,,,,,,,,,,
2011,spend >30% on housing,Maryland,rank,37,,,,,,,,,,,,,,,,,,,,,,
2012,spend >30% on housing,Maryland,rank,35,,,,,,,,,,,,,,,,,,,,,,
2008,children in poverty,Maryland,count,135000,,,,,,,,,,,,,,,,,,,,,,
2009,children in poverty,Maryland,count,154000,,,,,,,,,,,,,,,,,,,,,,
2010,children in poverty,Maryland,count,173000,,,,,,,,,,,,,,,,,,,,,,
2011,children in poverty,Maryland,count,179000,,,,,,,,,,,,,,,,,,,,,,
2012,children in poverty,Maryland,count,183000,,,,,,,,,,,,,,,,,,,,,,
2008,children in poverty,Maryland,pct,10,,,,,,,,,,,,,,,,,,,,,,
2009,children in poverty,Maryland,pct,12,,,,,,,,,,,,,,,,,,,,,,
2010,children in poverty,Maryland,pct,13,,,,,,,,,,,,,,,,,,,,,,
2011,children in poverty,Maryland,pct,14,,,,,,,,,,,,,,,,,,,,,,
2012,children in poverty,Maryland,pct,14,,,,,,,,,,,,,,,,,,,,,,
2008,children in poverty,Maryland,rank,2,,,,,,,,,,,,,,,,,,,,,,
2009,children in poverty,Maryland,rank,2,,,,,,,,,,,,,,,,,,,,,,
2010,children in poverty,Maryland,rank,2,,,,,,,,,,,,,,,,,,,,,,
2011,children in poverty,Maryland,rank,2,,,,,,,,,,,,,,,,,,,,,,
2012,children in poverty,Maryland,rank,2,,,,,,,,,,,,,,,,,,,,,,
2008,parents without full-time employment,Maryland,count,285000,,,,,,,,,,,,,,,,,,,,,,
2009,parents without full-time employment,Maryland,count,329000,,,,,,,,,,,,,,,,,,,,,,
2010,parents without full-time employment,Maryland,count,357000,,,,,,,,,,,,,,,,,,,,,,
2011,parents without full-time employment,Maryland,count,367000,,,,,,,,,,,,,,,,,,,,,,
2012,parents without full-time employment,Maryland,count,352000,,,,,,,,,,,,,,,,,,,,,,
2008,parents without full-time employment,Maryland,pct,21,,,,,,,,,,,,,,,,,,,,,,
2009,parents without full-time employment,Maryland,pct,24,,,,,,,,,,,,,,,,,,,,,,
2010,parents without full-time employment,Maryland,pct,26,,,,,,,,,,,,,,,,,,,,,,
2011,parents without full-time employment,Maryland,pct,27,,,,,,,,,,,,,,,,,,,,,,
2012,parents without full-time employment,Maryland,pct,26,,,,,,,,,,,,,,,,,,,,,,
2008,parents without full-time employment,Maryland,rank,4,,,,,,,,,,,,,,,,,,,,,,
2009,parents without full-time employment,Maryland,rank,5,,,,,,,,,,,,,,,,,,,,,,
2010,parents without full-time employment,Maryland,rank,8,,,,,,,,,,,,,,,,,,,,,,
2011,parents without full-time employment,Maryland,rank,11,,,,,,,,,,,,,,,,,,,,,,
2012,parents without full-time employment,Maryland,rank,10,,,,,,,,,,,,,,,,,,,,,,
2008,teens not attending school,Maryland,count,28000,,,,,,,,,,,,,,,,,,,,,,
2009,teens not attending school,Maryland,count,27000,,,,,,,,,,,,,,,,,,,,,,
2010,teens not attending school,Maryland,count,28000,,,,,,,,,,,,,,,,,,,,,,
2011,teens not attending school,Maryland,count,25000,,,,,,,,,,,,,,,,,,,,,,
2012,teens not attending school,Maryland,count,24000,,,,,,,,,,,,,,,,,,,,,,
2008,teens not attending school,Maryland,pct,8,,,,,,,,,,,,,,,,,,,,,,
2009,teens not attending school,Maryland,pct,8,,,,,,,,,,,,,,,,,,,,,,
2010,teens not attending school,Maryland,pct,8,,,,,,,,,,,,,,,,,,,,,,
2011,teens not attending school,Maryland,pct,8,,,,,,,,,,,,,,,,,,,,,,
2012,teens not attending school,Maryland,pct,8,,,,,,,,,,,,,,,,,,,,,,
2008,teens not attending school,Maryland,rank,21,,,,,,,,,,,,,,,,,,,,,,
2009,teens not attending school,Maryland,rank,16,,,,,,,,,,,,,,,,,,,,,,
2010,teens not attending school,Maryland,rank,16,,,,,,,,,,,,,,,,,,,,,,
2011,teens not attending school,Maryland,rank,20,,,,,,,,,,,,,,,,,,,,,,
2012,teens not attending school,Maryland,rank,19,,,,,,,,,,,,,,,,,,,,,,
